Name,Description
000,adding colors to a glass of water
001,"wiping colors on table, dry"
002,camera tilting indoors
003,foosball
004,moving skewers on grill
005,resetting a game of connect-4
006,playing on guitar
007,cars on the road in the rain
008,rain hitting the train platform while train passes by
009,camera moving inside a building
010,"grill smoke, people walking in the background"
011,camera following wolves walking
012,birds on a birds feeder
013,lighting candles and blowing them out
014,adding colors to three glasses of water
015,people loading a truck
016,lighting a sparkler
017,trains passing each other in the rain
